[№],any_data,correct_first_symbol,correct_symbols,no_double_dot,no_eight_symbols_without_letter,correct_last_symbol,correct_amount_symbols,result,[blocked],[reason]
36,True,True,True,True,False,True,True,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
37,True,True,True,True,False,True,True,8+ допустимых символов без букв,False,
38,True,True,True,True,False,True,True,Недопустимый последний символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
39,True,True,True,True,False,True,True,Недопустимое количество символов,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
40,True,True,True,True,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
41,True,True,True,True,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
42,True,True,True,True,False,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
43,True,True,True,True,False,True,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
44,True,True,True,True,False,True,False,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
45,True,True,True,True,False,True,False,8+ допустимых символов без букв,True,"Если недопустимое количество символов, то ошибка количества символов

"
46,True,True,True,True,False,True,False,Недопустимый последний символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
47,True,True,True,True,False,True,False,Недопустимое количество символов,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
48,True,True,True,True,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
49,True,True,True,True,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
50,True,True,True,True,False,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
51,True,True,True,True,False,False,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
52,True,True,True,True,False,False,True,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
53,True,True,True,True,False,False,True,8+ допустимых символов без букв,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
54,True,True,True,True,False,False,True,Недопустимый последний символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
55,True,True,True,True,False,False,True,Недопустимое количество символов,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
56,True,True,True,True,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
57,True,True,True,True,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
58,True,True,True,True,False,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
59,True,True,True,True,False,False,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
60,True,True,True,True,False,False,False,Есть 2 точки подряд,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
61,True,True,True,True,False,False,False,8+ допустимых символов без букв,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
62,True,True,True,True,False,False,False,Недопустимый последний символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
63,True,True,True,True,False,False,False,Недопустимое количество символов,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
64,True,True,True,False,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
65,True,True,True,False,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
66,True,True,True,False,True,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
67,True,True,True,False,True,True,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
68,True,True,True,False,True,True,True,Есть 2 точки подряд,False,
69,True,True,True,False,True,True,True,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
70,True,True,True,False,True,True,True,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
71,True,True,True,False,True,True,True,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
72,True,True,True,False,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
73,True,True,True,False,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
74,True,True,True,False,True,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
75,True,True,True,False,True,True,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
76,True,True,True,False,True,True,False,Есть 2 точки подряд,True,"Если недопустимое количество символов, то ошибка количества символов

"
77,True,True,True,False,True,True,False,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
78,True,True,True,False,True,True,False,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
79,True,True,True,False,True,True,False,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
80,True,True,True,False,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
81,True,True,True,False,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
82,True,True,True,False,True,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
83,True,True,True,False,True,False,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
84,True,True,True,False,True,False,True,Есть 2 точки подряд,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
85,True,True,True,False,True,False,True,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
86,True,True,True,False,True,False,True,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
87,True,True,True,False,True,False,True,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
88,True,True,True,False,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
89,True,True,True,False,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
90,True,True,True,False,True,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
91,True,True,True,False,True,False,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
92,True,True,True,False,True,False,False,Есть 2 точки подряд,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
93,True,True,True,False,True,False,False,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
94,True,True,True,False,True,False,False,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
95,True,True,True,False,True,False,False,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
96,True,True,True,False,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
97,True,True,True,False,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
98,True,True,True,False,False,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
99,True,True,True,False,False,True,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
100,True,True,True,False,False,True,True,Есть 2 точки подряд,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
101,True,True,True,False,False,True,True,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
102,True,True,True,False,False,True,True,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
103,True,True,True,False,False,True,True,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
104,True,True,True,False,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
105,True,True,True,False,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
106,True,True,True,False,False,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
107,True,True,True,False,False,True,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
108,True,True,True,False,False,True,False,Есть 2 точки подряд,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
109,True,True,True,False,False,True,False,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
110,True,True,True,False,False,True,False,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
111,True,True,True,False,False,True,False,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
112,True,True,True,False,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
113,True,True,True,False,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
114,True,True,True,False,False,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
115,True,True,True,False,False,False,True,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
116,True,True,True,False,False,False,True,Есть 2 точки подряд,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
117,True,True,True,False,False,False,True,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
118,True,True,True,False,False,False,True,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
119,True,True,True,False,False,False,True,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
120,True,True,True,False,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
121,True,True,True,False,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
122,True,True,True,False,False,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
123,True,True,True,False,False,False,False,Недопустимые символы,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
124,True,True,True,False,False,False,False,Есть 2 точки подряд,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
125,True,True,True,False,False,False,False,8+ допустимых символов без букв,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
126,True,True,True,False,False,False,False,Недопустимый последний символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
127,True,True,True,False,False,False,False,Недопустимое количество символов,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
128,True,True,False,True,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
129,True,True,False,True,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
130,True,True,False,True,True,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
131,True,True,False,True,True,True,True,Недопустимые символы,False,
132,True,True,False,True,True,True,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
133,True,True,False,True,True,True,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
134,True,True,False,True,True,True,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
135,True,True,False,True,True,True,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
136,True,True,False,True,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
137,True,True,False,True,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
138,True,True,False,True,True,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
139,True,True,False,True,True,True,False,Недопустимые символы,True,"Если недопустимое количество символов, то ошибка количества символов

"
140,True,True,False,True,True,True,False,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
141,True,True,False,True,True,True,False,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
142,True,True,False,True,True,True,False,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
143,True,True,False,True,True,True,False,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
144,True,True,False,True,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
145,True,True,False,True,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
146,True,True,False,True,True,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
147,True,True,False,True,True,False,True,Недопустимые символы,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
148,True,True,False,True,True,False,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
149,True,True,False,True,True,False,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
150,True,True,False,True,True,False,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
151,True,True,False,True,True,False,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
152,True,True,False,True,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
153,True,True,False,True,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
154,True,True,False,True,True,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
155,True,True,False,True,True,False,False,Недопустимые символы,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
156,True,True,False,True,True,False,False,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
157,True,True,False,True,True,False,False,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
158,True,True,False,True,True,False,False,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
159,True,True,False,True,True,False,False,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
160,True,True,False,True,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
161,True,True,False,True,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
162,True,True,False,True,False,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
163,True,True,False,True,False,True,True,Недопустимые символы,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
164,True,True,False,True,False,True,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
165,True,True,False,True,False,True,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
166,True,True,False,True,False,True,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
167,True,True,False,True,False,True,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
168,True,True,False,True,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
169,True,True,False,True,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
170,True,True,False,True,False,True,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
171,True,True,False,True,False,True,False,Недопустимые символы,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
172,True,True,False,True,False,True,False,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
173,True,True,False,True,False,True,False,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
174,True,True,False,True,False,True,False,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
175,True,True,False,True,False,True,False,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
176,True,True,False,True,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
177,True,True,False,True,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
178,True,True,False,True,False,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
179,True,True,False,True,False,False,True,Недопустимые символы,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
180,True,True,False,True,False,False,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
181,True,True,False,True,False,False,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
182,True,True,False,True,False,False,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
183,True,True,False,True,False,False,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
184,True,True,False,True,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
185,True,True,False,True,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
186,True,True,False,True,False,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
187,True,True,False,True,False,False,False,Недопустимые символы,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
188,True,True,False,True,False,False,False,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
189,True,True,False,True,False,False,False,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
190,True,True,False,True,False,False,False,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
191,True,True,False,True,False,False,False,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
192,True,True,False,False,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
193,True,True,False,False,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
194,True,True,False,False,True,True,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
195,True,True,False,False,True,True,True,Недопустимые символы,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
196,True,True,False,False,True,True,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
197,True,True,False,False,True,True,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
198,True,True,False,False,True,True,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
199,True,True,False,False,True,True,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
